gruiformes: Animal
antrozous: Animal
eleutherodactylus: Animal
moonwort: Nature
tiliaceae: Nature
mnium: Nature
testacean: Animal
processing: Tech
myxinidae: Animal
reptantia: Animal
candlepower: Light
conium : Toxic
nutcracker : Blunt
metamorphism : Earth
ossification : Healing
neurectomy : Healing
computer : Tech
digoxin : Toxic
annunciator : Tech
dermatitis : Healing
juniperus : Nature
putridity : Toxic
lithospermum : Earth
cock : Animal
cariamidae : Animal
symplocarpus : Nature
charcoal : Fire
gastroenteritis : Healing
battery : Electric
floodhead : Water
girandole : Fire
pyemia : Toxic
pup : Animal
nihilism : Evil
ricin : Toxic 
ghoul : Death
graphics : Tech
tonguefish : Water
acridity : Toxic
boxwood : Nature
waterweed : Water
satinwood : Nature
pillwort : Nature
transmutation : Magic
sequencer : Tech
animalism : Animal
limestone : Earth
dace : Animal
shipyard : Tech
radioprotection : Nature
livestock : Animal
countertop : Tech
haymaker : Blunt
antiaircraft : Electric
t-network : Tech
canine : Animal
alces : Animal
pinnipedia : Animal
radiomicrometer : Tech
waterfowl : Animal
halo : Light
bricklaying : Earth
whip-scorpion : Toxic
joss : Magic
torpedinidae : Electric
greylag : Animal
characinidae : Animal 
oniscidae : Animal
ostraciidae : Animal
pediculidae : Animal 
acanthuridae : Animal
squawk : Animal
lorry : Tech
heroics : Good
rinderpest : Toxic
resorcinol : Toxic
seal : Water
pullet : Animal
poinsettia : Nature
traitor : Evil
coffin : Death
laurel : Nature
brooklime : Water
froghopper : Animal
shrublet : Nature
arrhenatherum : Nature
woodruff : Nature
miracle : Good 
conscience : Good
zingiberaceae : Nature
bandit : Evil
seashell : Water
ruralism : Nature
workbench : Tech
aquanaut : Water
species : Nature
bettong : Animal
progymnosperm : Nature
stratosphere : Air 
penstemon : Nature 
hieracium : Nature
ani : Animal
burglar : Evil
interchange : Tech
tribe : Nature
conch : Animal
tineidae : Animal
ornithologist : Animal
fluoroscopy : Light
incrustation : Earth
lithomancer : Magic
immunity : Life
noisemaker : Tech
humiliation : Evil
artemis : Nature
scarabaeidae : Animal
eucalyptus: Nature
fraxinella: Fire
panther: Animal
gouge: Piercing
lizard : Animal
filer : Tech
watermeal : Water
liana : Nature
bilberry : Nature
hydrolysate : Water
nightlife : Life
lotus : Nature
sharpshooter : Piercing
calf : Animal
gazelle : Animal
nitrogen : Air
lungfish : Water
serpent : Nature
ricegrass : Nature
crust : Earth
flammability : Fire
ablation : Cutting
witch-hunter : Magic
defibrillation : Electric
lifesaving : Healing
diver : Water
lenticel : Nature
seismograph : Tech
coralberry : Nature
bullhead : Animal
ereshkigal : Dark
priest : Magic
shillelagh : Blunt
jasmine : Nature
ambush : Evil
stopcock : Tech
immunologist : Healing
keratoiritis : Toxic
commiphora : Nature
dive-bombing : Blunt
forester : Nature
missile : Tech
electromyogram : Tech
meatball : Blunt
stickleback : Animal
seaway : Water
hydrometer : Tech
thallium : Toxic
tetrachloride : Toxic
thermoelectricity : Electric
manganese : Earth
jumbojet : Tech
crevasse : Earth
feeding : Animal
libocedrus : Nature
sardina : Water
menhir : Earth
squid : Water
bigeye : Animal
self-heal : Healing
surgery : Healing
amphibia : Animal
mutilator : Cutting
dendroaspis : Animal
aconite : Toxic
wagtail : Animal
phalanger : Animal
harpy : Animal
fauna : Animal
permalloy : Tech
loranthus : Nature
volumeter : Tech
chamaecrista : Nature
technophobia : Tech
secale : Nature
mock-up : Tech
curcuma : Nature
surfboat : Water
cherub : Light
caprimulgus : Animal
bird : Animal
pulpwood : Nature
styracaceae : Nature
eurylaimidae : Animal 
sabal : Nature
endorphin : Healing
poecilogale : Animal
gonadotropin : Healing
celandine : Nature
trail : Nature
prenanthes : Nature
navigator : Tech
militant : Evil
quarrying : Earth
stork : Animal
altocumulus : Air
corncrake : Animal
cannibal : Evil
growl : Animal
barricade : Tech
rockrose : Nature
crusher : Blunt
phaethon : Fire
loyalist : Good
garnierite : Earth
neptune : Water
deification : Magic
metalworking : Tech
tektite : Earth
nanotechnology : Tech
lambkin : Animal
sidelight : Light
creosote : Toxic
osteopetrosis : Life
bathyscaphe : Tech
luvaridae : Animal
golf : Blunt
cryptocercus : Animal
nuphar : Water
turbine : Tech
brambling : Animal
mosquitofish : Animal
yucca : Nature
submersible: Water
dimetrodon: Animal
arctiidae: Animal
autoloader: Tech
beech: Nature
maleo: Animal
simulation: Tech
accelerator: Tech
acocanthera: Nature
lightwood : Nature
updating : Tech
acidemia : Toxic
gumwood : Nature
squirrel : Animal
inoculant: Healing
satanist : Evil
reticulitermes : Earth
quetzal : Nature
silica : Earth
brachychiton : Nature
vermiculite : Earth
waterside : Water
phascogale : Animal
quantum : Tech
swine : Animal
round : Blunt
anarchy : Evil
spawn : Life 
darkroom : Dark 
milliampere : Tech 
jew's-ear : Nature 
edentate : Animal 
trichloride : Toxic 
greens : Nature
fumigant : Toxic
restoration : Healing
botulin : Toxic
damselfish : Animal
lymphokine : Life
sarcophilus : Evil
haloform : Toxic
kelpie : Animal
yosemite : Nature
assassin : Evil
livery : Light
squalus : Water
lycoperdaceae : Nature
clangula : Water
elephantidae : Animal
technical : Tech
islamophobia : Evil
alaudidae : Animal
dollarfish : Animal
gymnura : Animal
amblygonite : Earth
compassion : Healing
update : Tech
hydra : Animal
totalitarian : Evil
pronghorn: Animal
tempter: Evil
gallows : Death
stile : Piercing
osteocyte : Life
ara : Nature
turtledove : Animal
seashore : Water
deinonychus : Animal
fearlessness : Good
logistics : Tech
gorgon : Dark
baal : Evil
bluegill : Animal
eschscholtzia : Nature
acetone : Toxic
retinitis : Healing 
nightingale : Animal
spodoptera : Animal 
prospector : Earth 
misleader : Evil 
lithotomy : Cutting 
staphylaceae : Nature 
anthophyllite : Earth 
subversion : Evil 
hoheria : Nature
rod : Blunt
narwhal : Water
leafhopper : Animal
osprey : Air
industrialization : Tech
bacteremia : Toxic
lochia : Healing
gadgetry : Tech
plunderage : Evil
cottonwood : Nature
appaloosa : Animal 
andesite : Earth 
shroud : Dark 
fever : Fire
incorruptness : Good 
blossoming : Nature 
petasites : Nature
ailanthus : Nature
biped : Animal
pyrus : Nature
sailfish : Water
hardenbergia : Nature 
laurel-tree : Nature
thirst : Life
megalosaur : Animal
rallidae : Animal
podocarpus : Nature
videodisk : Tech
prosimian : Animal
pig : Animal
gymnosporangium : Nature
one-hitter : Blunt 
biohazard : Toxic 
defoliant : Toxic 
femtovolt : Electric 
tesla : Electric 
vestal : Healing
aerobiosis : Air
columbite-tantalite : Earth 
iguanidae : Animal 
ping : Tech 
thallus : Nature 
mefloquine : Toxic 
ephippiorhynchus : Animal 
skydiving : Air
chamaecytisus : Nature 
two-by-four: Blunt
boidae: Animal
self-pollination: Nature
cigarette : Toxic
torpedo : Electric
caracara : Animal
oxidation : Water
volatility : Fire
cowherb : Nature
brake : Tech
protea : Nature
cholelithotomy : Healing
halite : Earth
melampsoraceae : Nature
aphrodisiac : Nature
fortran : Tech
conga : Animal
facula : Light
rhodophyceae : Nature
hairweaving : Nature
waterer : Water
boxer : Blunt
shipwreck : Water
scincidae : Animal
hematopoiesis: Life 
inhospitality : Evil
minotaur : Animal 
hyoscyamus : Toxic 
eye-lotion : Healing 
fungi : Nature 
depravity : Evil 
bangiaceae : Nature
moloch : Evil
tamer : Animal
needleworker : Piercing
lambertia : Nature
suricate : Animal
pedionomus : Animal
sylvanite : Earth
bearskin : Animal
tamarindus : Nature
tetranychidae : Toxic
aphidoidea : Toxic
pyocyanase : Healing
casuarina : Nature
expectorant : Healing 
defoliator : Toxic 
doberman : Animal
airdrop : Air
whippet : Animal
audiocassette : Tech
bovid : Animal
bruin : Animal
telecaster : Tech
trapaceae : Nature
teiidae : Animal
rofecoxib : Toxic
wand : Magic
larcenist : Evil
placental : Nature
explosive : Fire
phenelzine : Toxic
hope : Life
lecythidaceae : Nature
stylophorum : Nature
extortion : Evil
splint : Healing
black : Dark
vaccinium : Nature
cacodemon : Evil
onomancer : Magic
banderillero : Piercing
mantidae : Animal
sediment : Earth
quasar : Light
nonpartisan : Evil
oilfish : Water
jasper : Earth
propulsion : Tech
citrus : Nature
edentata : Animal
carpobrotus : Toxic
coccidia : Toxic
mine : Earth 
felwort : Nature
falconidae : Animal
corvette : Tech
lampyridae : Animal
galvanism : Electric 
debris : Earth
base : Tech
walnut : Nature
sternutator : Toxic 
illegality : Evil
gopherus : Animal
parry : Blunt
tusk : Piercing
spill : Water
galeorhinus : Animal
pterocnemia : Animal
shoe : Blunt
arrowsmith : Cutting
pole : Tech
cranberry: Nature
ermine : Animal
ammeter : Tech
picador : Piercing
foxhound : Animal
criminalization: Evil
anguidae : Animal
battering : Blunt
waters : Water
foraging : Nature 
resuscitation : Healing 
addiction : Evil 
monoxide : Toxic
houseboat : Water
hyaenidae : Animal
subvocalizer : Tech
spirituality : Healing
keeshond : Animal
sea-rocket : Water
meteorology : Air
infamy : Evil
antimatter : Toxic
melee : Blunt
amphipoda : Animal
skinheads : Evil
arsenate : Toxic 
pipewort: Nature
gear: Tech
tyrannid: Evil
gossamer: Nature
splenectomy: Healing
anticholinesterase: Toxic
creepy-crawly: Animal
trotter : Animal
bubble : Water
lightning : Electric
dicynodont : Animal
electromagnet : Electric
hydrazine : Toxic
plumbing : Tech
reef : Nature
anaconda : Animal
necromancer : Dark
algorism : Magic
kenyapithecus : Animal
sax : Cutting
malice : Evil
euphausiacea : Animal
bombycilla : Animal 
dacrymyces : Water
self-preservation : Life
demagogue : Evil
mixology : Magic
magneto : Electric
manipulation : Magic
obscurantism : Dark
gaiety : Good
thyme : Nature
earthworm : Earth
zebu : Animal
pochard : Animal
biota : Nature
intimidation: Evil
roasting: Fire
slinging : Blunt
linaria : Nature
pilot : Tech
depredation : Evil
congridae : Animal
eriogonum : Nature
ichthyologist : Animal
poultryman : Animal
hydrofluorocarbon : Toxic
tapirus : Animal
merlin : Magic
serotine : Animal
pollachius : Animal
crater : Earth
compressor : Tech
miconazole : Toxic
burn : Fire
capelin : Animal
pewee : Animal
phlebotomus : Animal
banksia : Nature
sailmaker : Water
electrotherapist : Electric
slingshot : Blunt
acanthurus : Animal
fueling : Fire
chromophore : Light
nasua : Animal
prechlorination : Tech
gardenia : Nature
petromyzontidae : Water 
plaice : Water
rapeseed : Nature 
hallucinogen : Toxic 
hospice : Healing 
sciuromorpha : Animal 
bignonia : Nature 
manglietia : Nature 
shigella : Toxic 
chamaeleontidae : Animal 
dowitcher : Animal
liliales : Nature
abdominoplasty : Healing
habergeon : Blunt
dieback : Toxic
enslavement : Evil
bindweed: Nature
salve: Healing
photoelectricity: Electric
dunghill: Earth
mortar: Blunt
coulomb: Electric
dasht-e-kavir : Earth
patricide : Evil
jack-in-the-pulpit : Nature
dove : Animal
believer : Good
muscivora : Animal
mane : Animal
hitter : Blunt 
crusade : Good
poniard : Cutting
fox : Animal
cuniculus : Animal
antivenin : Healing
seltzer : Water
pulmonata : Animal
geochelone : Animal
chelicerata : Animal
damselfly : Animal 
waratah : Nature 
fell : Blunt 
pegasus : Nature 
mouton : Animal 
pony : Animal 
peace : Good
erebus : Evil
covey : Animal
cowfish : Animal
animalia : Animal
lardizabala : Nature
seafaring : Water
cyanophyta : Nature
stomatopod : Animal
boater : Water
tradecraft : Tech
beanball : Blunt
mucorales : Nature
nursling : Life
reclamation : Nature
eyedrop : Healing
mimesis : Magic
stockade : Tech
squawbush : Nature
gigabyte : Tech
cattleship : Animal
lobeliaceae : Nature
malodor : Toxic
lunge : Piercing
bath : Water
barb : Piercing
dendroica : Nature
bacteroid : Nature
linum : Nature
chemist : Tech
autofluorescence : Light
cuculus : Animal
fang : Piercing
slugger: Blunt
conversion: Magic
beating: Blunt
airstrip: Air
kangaroo: Animal
neuralgia: Healing
mash: Blunt
masseuse : Healing
obeah : Magic
azadirachta : Nature
rhinocerotidae : Animal
rabbitfish : Animal
winepress : Blunt
cinder : Fire
convalescent : Healing
drumhead : Blunt
curandera : Healing
potherb : Nature
subspecies : Nature
parsnip : Nature
cabbage : Nature
gill : Water
baccharis : Nature
polioptila : Nature
soundbox : Tech
daggerboard : Piercing
irradiation : Light
autoclave : Tech
metazoan : Animal
pecos : Nature
phasmida : Animal
cerberus : Animal
actinia : Water
mycophagy : Animal
subsoil : Earth
passeriformes : Air
flunitrazepan : Toxic
cyber-terrorism : Tech
cricetidae : Animal
iridoprocne : Air
epipactis : Nature
cyclosorus : Nature
handspike : Blunt
cobnut : Nature
cephalotaceae : Nature
dado : Blunt
spout : Water
pyrophyllite : Earth
civility : Good
juncus : Nature
sundrops : Light
podargidae : Animal
springtide : Nature
sylviidae : Animal
breeding : Animal
macadamia : Nature
airplane : Tech
bow-wow : Animal
birthplace : Life
liparididae : Animal
coregonidae : Animal
turtle : Animal
servo : Tech
paradoxurus : Animal
grief : Life
carlina : Nature
ebbtide : Water
plum : Nature
jalapeno : Toxic
mallow : Nature
muntiacus : Animal
costochondritis : Healing
scuppernong : Nature
backhand : Cutting
waterleaf : Water
pythiaceae : Nature
xenophobia : Evil
overprint : Tech
light : Light
man-of-the-earth : Nature
convulsion : Electric
carcharhinidae : Animal
decapoda : Animal
rhizophoraceae : Nature
lachnolaimus : Animal
centropristis : Animal
stenograph : Tech
microvolt : Electric
sycamore : Nature
macebearer : Blunt 
liniment : Healing
cryptocercidae : Animal
booklouse : Animal
pellagra : Toxic
thanatos : Death
water-mint : Water
cobaltite : Earth
slasher : Cutting
genie : Magic
skirret : Nature
cortaderia : Nature
pilea : Nature
toolmaker : Tech
ionization : Electric
canis : Animal
tormenter : Evil
antitoxin : Healing
tremolite : Earth
myxobacteria : Nature
parkeriaceae : Nature
cookfire : Fire
pinecone : Nature
fan : Air
hayfield : Nature
firecracker : Fire
gliricidia : Nature
antiemetic : Healing
natterjack : Animal
esker : Earth
waterford : Water
fail-safe : Tech
hecate : Magic
brickwork : Earth
phoenix : Fire
baneberry : Toxic
bandwidth :Tech
heathen : Evil
rosebay : Nature
lilyturf : Nature
sag : Water
winesap : Nature
monorail : Tech
durmast : Nature
thelypteridaceae : Nature
hebe : Nature
putrefaction : Toxic
invisibility : Magic
ipod : Tech
eagle : Animal
cimex : Toxic
walkie-talkie : Tech
sallet : Cutting
platyrrhini : Animal
seraph : Magic
stinger : Piercing
archaeornithes : Animal
chloroplast : Nature
garlic : Nature
bodybuilding : Life
glioblastoma : Evil
cytolysin : Toxic
chabazite : Earth
gentianella : Nature
virility : Life
episiotomy : Cutting
riverbank : Water
carpentry : Blunt
crewelwork : Cutting
antimycin : Toxic
gearshift : Tech
puncher : Blunt
carbonate : Earth
refining : Earth
genetta : Animal
calystegia : Nature
ascidian : Water
calamint : Nature
snowmobile : Tech
atriplex : Nature
mermaid : Water
sequoya : Nature
giraffe : Animal
tableland : Earth
millivoltmeter : Tech
lough : Water
sphingidae : Animal
soddy : Earth
plantlet : Nature
despisal : Evil
fusilier : Cutting
tonometer : Tech
amanita : Animal
polyploidy : Nature
gadfly : Animal
approver : Good
equilibration : Nature
galvanization : Electric
dermochelys : Animal
coreidae : Animal
alcidae : Animal
hercules'-club : Blunt
megahertz : Tech
laager : Tech
pyromancer : Fire
cyclooxygenase : Healing
despair : Evil
hedge : Nature
telescopy : Tech
bdellium : Earth
bacillariophyceae : Water
chaetodontidae : Animal
diazepam : Toxic
chasteness : Good
villain: Evil
ebb: Water
balancer: Tech
chihuahua: Animal
airs: Air
anion: Electric
sincerity: Good
aquila: Light
mugging : Cutting
squash : Blunt
psilocybin : Toxic
misanthrope : Evil
workboard : Tech
centaurium : Nature
glossopsitta : Animal
anaphylaxis : Toxic
siskin : Animal
bombing : Fire
otaria : Animal
condensation : Water
cultist : Evil
alcedinidae : Animal
tide : Water
purifier : Healing
binding : Magic
pellitory-of-the-wall : Nature
cistus : Nature
feeder : Animal
fascist : Evil
waterdog : Animal
huntress : Animal
pneumonitis : Toxic
malignancy: Evil
goshawk: Animal
rheometer: Tech
radiology: Light
jewfish : Animal
naughtiness : Evil
swordsmanship : Cutting
blowtube : Blunt
butane : Fire 
sharpness : Cutting 
osteolysis : Death 
weeds : Nature 
dewberry : Nature 
bream : Animal 
monazite : Earth
digitizer : Tech
branchiobdellidae : Animal
bookkeeping : Tech
sirius : Light
flint : Fire
welding : Tech
calculator : Tech
cryptobranchus : Animal
jabiru : Animal
sedum : Nature 
sunstroke : Fire 
clam : Water 
quartz : Earth
disenchantment : Magic
dueler : Cutting
dachshund : Animal
hydrology : Water
bluetongue : Animal
drupe : Earth
suidae : Animal
sauropod : Animal
excavation : Earth
redstart : Animal
color : Light
fountain : Water
rhea : Animal
photosynthesis : Nature
canister : Tech
dressage : Animal
motherliness : Life
hummingbird : Animal
pathway : Nature
static : Electric
prey : Animal
pyralis: Fire
grave: Death
uranyl: Toxic
cupule : Piercing
ranch : Animal
ahriman : Evil
incarnation : Life
pew : Blunt
camassia : Nature
mosquito : Animal
sputnik : Tech
erysipelas : Healing
danaidae : Animal
corrosion : Water
waterspout : Water
current : Electric
aesir: Magic 
asceticism: Life 
muntjac: Animal
sumac : Nature
cudweed : Nature
redtail : Animal
cybersex : Tech
minibike : Tech
chelydra : Animal
zanthoxylum : Nature
rhodophyta : Nature
honeyflower : Nature
coluber : Animal
stick : Blunt
gauze : Healing
parricide : Evil
topminnow : Animal
doctorfish : Animal
mutilation : Evil
sciatica : Healing
periplaneta : Animal
piston : Tech
patella : Healing
myrtaceae : Nature
ammobium : Fire
electroscope : Electric
thunderhead : Electric
neomys : Animal
ramalina : Nature
hemiptera : Animal
synentognathi : Animal
therapeutics : Healing
waif: Life
hinny: Animal
ornithorhynchus : Animal
phosgene: Toxic
naiadaceae : Nature
typhoid: Evil
papio : Animal
well-wishing : Good
thymus : Nature
hylocichla : Animal
aruru : Nature
soapstone : Earth
programmer : Tech
limeade : Water
dermochelyidae : Animal
dendranthema : Nature
relaxin : Healing
heating : Fire
ichneumonidae : Animal
dynamometer : Tech
stonehenge : Earth
cheetah : Animal
wandflower : Nature
yellowlegs : Animal
colubridae : Animal
wormwood : Nature
pomelo : Nature
betrayal : Evil
bromoform : Toxic
antipruritic : Healing
cytisus : Nature
drug : Toxic
paradise : Life
macrothelypteris : Nature
tachogram : Tech
rogue : Evil
currentness : Electric
interphone : Tech
lidar : Tech
trogonidae : Animal
epimedium : Nature
feathertop : Air
rose : Nature
pharmacology : Healing
curability: Healing
ungulate: Animal
artichoke: Nature
conocarpus: Nature
myrmecophyte: Animal
chlorine: Toxic
windbreak : Air
foundering : Water
holiness : Good
teredinidae : Water
trachipterus : Water
thief : Dark 
secateurs : Cutting 
hornwort : Nature
bolti : Tech
blaster : Fire
celesta : Magic
mercury : Healing
tetrode : Tech
hit : Blunt
tellurian : Earth
cow : Animal
mayhaw : Nature
radium : Toxic
altar : Light
parakeet : Animal
obliterator : Evil
gong : Magic
incinerator : Fire
mustela : Animal
dicot : Nature 
nebula : Light
fumigator : Toxic
aspen : Nature
anamorphosis : Magic
eupnea : Air
dastardliness : Evil
kennel : Animal
corticosteroid : Healing
courtliness : Good
topsoil : Earth
episcleritis : Healing
daphne : Nature
potto : Animal
monkey : Animal
hydrothorax : Water
magnetometer : Electric
coniferopsida: Nature
aplodontiidae: Animal
ursidae: Animal
oleaster: Nature
macropodidae: Animal
egretta: Animal
wound: Cutting
electra : Electric
dapsone : Toxic
intaglio : Piercing 
grainfield : Nature
jaguar : Animal
cannonade : Fire
pereskia : Nature
elbowing : Piercing
lifeblood : Life
decontamination : Toxic
zamboni : Tech
lobotidae : Animal
shin : Piercing
salp : Water
destroyer : Evil
foal : Animal
anguish : Dark
rhinorrhea : Toxic
schefflera : Nature
ascension : Light
cetraria : Nature
thrombophlebitis : Toxic
putrescence : Toxic
barrenwort: Nature
thermosphere: Air
muscari: Nature
ambiversion: Light
bronchodilator: Air
midnight : Dark
myricaceae : Nature
dissolve : Water
mayweed : Nature
masonry : Earth
hammerlock : Blunt
talus : Earth
tropaeolum : Nature
samoyed : Animal
naturalness : Nature
eranthis : Nature
electrosurgery : Electric
winch : Tech
blast : Fire
heath : Nature
decantation : Magic
countermine : Tech
deforestation : Nature
fulmar : Animal
oxyacetylene : Fire
impiety : Evil
pelobatidae : Animal
rhyacotriton : Animal
midwifery : Healing
predation : Animal
formaldehyde : Toxic
chordata : Animal
ketorolac : Toxic
sulindac : Toxic
merganser : Animal
rejoicing : Life
biosphere : Nature
death-roll : Death
biomedicine : Healing
biopsy : Healing
poseidon : Water
lagostomus : Animal
glacier : Water
bumboat : Tech
helicidae : Animal
menyanthes : Nature
gasteromycete : Nature
acid : Toxic
maser : Tech
disk : Tech
budding: Life
launcher: Tech
thistle: Nature
passiflora: Nature
thlaspi : Nature
tibicen : Animal
chiroptera : Animal
hydrate : Water
pilchard : Animal
punch : Blunt
chaffinch : Animal
viperidae : Animal 
rorippa : Nature 
spiritualism : Magic 
brooch : Piercing
euglenophyceae : Nature
flatbed : Tech
ceratitis : Toxic
biotite : Earth
urocyon : Animal
warhorse : Animal
bioelectricity : Electric
telecommunication : Tech
bugleweed : Nature
megaera : Evil
death : Death
checkup : Healing
grass : Nature
attraction : Magic
vetch : Nature
switchman : Tech
positron : Electric
lymphangitis : Toxic
maturation : Life
frogmouth : Animal
shrink-wrap : Tech
oppressor : Evil
tungstate : Toxic
persuasion : Magic
mobilization : Tech
lame : Cutting
faun : Animal 
wolfe : Animal 
shooting : Fire 
gunnery : Cutting 
mucus : Nature
parasitism : Nature
arisaema : Nature
amplifier : Tech
apatite : Earth
cove : Water
salmonidae : Animal
plastic : Tech
mafioso : Evil
veterinarian : Healing
electrocutioner : Electric
luminism : Light
formicidae : Animal
damages : Evil
forgiveness : Good
birth : Life
shovelhead : Blunt
polyergus : Animal
undercut : Piercing
afrocarpus : Nature
freon : Tech
clockwork : Tech
shoal : Water
cytophotometer : Tech
recidivism : Evil
handball : Blunt
erigeron : Nature
prestidigitation : Magic
mahout : Animal 
pommel : Blunt 
flame-out : Fire 
revolver : Piercing 
cable : Tech 
lovebird : Animal 
daffodil : Nature 
angel : Good
oceanic : Water
strelitzia : Nature
sterilization : Tech
ammonia : Toxic
photograph : Light
cercopithecidae : Animal
photocopier : Tech
monkfish : Animal
thujopsis : Nature
rapateaceae : Nature
olea : Nature
wapiti : Animal
grunt : Animal
cyclopterus : Animal
animatism : Nature
mace : Blunt
bucksaw : Cutting
notoryctus : Animal
reverence : Good
greenery : Nature
cleaver : Cutting
clupea : Animal
muscicapidae : Animal
adansonia : Nature
lycaenid : Animal
waking : Life
archangel : Good
mirror : Light
caldera : Fire
tune-up : Tech
stoneware : Earth
bugbear : Evil
mangrove : Nature
lonicera : Nature
poison : Toxic
erethizontidae : Animal
thumbscrew : Blunt
electrotherapy : Electric
scratcher : Piercing
malversation : Evil
hymenophyllum : Nature
armor : Cutting
dynamite : Fire
dracenaceae : Nature
conchfish : Water
ascaris : Toxic
anthropoidea : Animal
mold : Water
primatology : Animal
avarice : Evil
daubentoniidae : Animal
phyllidae : Animal
petromyzoniformes : Animal
chrysolite : Earth
lashing : Cutting
rustic : Nature
zoologist : Animal
ceratotherium : Animal
corvidae : Animal
lauraceae : Nature
workmate : Tech
nergal : Evil
cudgel : Blunt
thysanopter : Animal
aplysia : Animal
matrix : Tech
lawn : Nature
diomedeidae : Animal
eryngium : Nature
collembola : Animal
trencher : Blunt
phosphine : Toxic
skeleton : Death
ecologist : Nature
whitefly : Animal
kalotermes : Animal
code : Tech
caracal : Animal
batting : Blunt
cheer : Light
treachery : Evil
probity : Good
environment : Nature
chelonian : Animal
archery : Piercing
llama : Animal
gestation : Life
pharaoh : Magic
fluorite : Nature
vamp : Evil
transmitter : Electric
puff : Air
injector : Tech
nurse-midwife: Healing 
awl: Piercing 
stalactite: Earth 
entrepreneur : Good
cyberculture : Tech
cellulitis : Toxic
heliotherapy : Healing
antipope : Evil
exploiter : Evil
semidesert : Nature
anobiidae : Animal
harrow : Blunt
nanovolt : Electric 
sanderling : Animal
seaside : Water 
pahoehoe : Fire 
infancy : Life 
whinstone : Earth
herbalist : Nature
pinkroot : Nature
disembowelment : Dark
chronometer : Tech
saprophyte : Nature
convection : Electric
silicosis : Toxic
Apoptosis : Death
Aspleniaceae : Nature
Sceloporus : Animal
Acrocephalus : Air
Shorea : Nature
Keratoderma : Healing
drumming : Blunt
karate : Blunt
nail : Piercing
maidu : Nature
backhander : Blunt 
haunt : Darkness
eye-beaming : Light
visionary : Magic
unix : Tech
madderwort : Nature
technicality : Tech
biplane : Tech
shimmer : Light
dinosaur : Animal
bombus : Tech
erianthus : Nature
pyrolusite : Earth
dorotheanthus : Nature
zap : Electric
knock: Blunt
shadowing: Dark
whisperer: Magic
silicate: Earth
float: Water
shade: Dark
naturalization: Nature
mobile: Tech
bloodhound : Animal
springbok : Animal
tunicate : Nature
aristolochiales : Nature
acrocarpus : Nature
seepage : Water
ladyfish : Animal
slate : Earth
proboscidea : Animal
barometer : Tech
abalone : Animal
hydrophobia : Water
photoelectron : Electric
blackberry-lily : Nature
cephalopoda : Animal
destructiveness : Evil
angelica : Nature
parulidae : Animal
cercaria : Animal
phyllostomus : Animal
airmail : Air
heelbone : Death
dejection : Evil
slam : Blunt
wetting : Water
ardor : Fire
self-knowledge : Healing
kindness : Good
dioxin : Toxic
tetracycline : Healing
synesthesia : Magic
mugil : Animal
judas : Evil
tyranni : Evil
lever : Tech
aranea : Animal
attractor : Magic
ricochet : Electric
chaffweed : Nature
compiler : Tech
plasticizer : Toxic
drosophila : Animal
longanberry : Nature
cross-pollination : Nature
megalomaniac : Evil
load-shedding : Tech
deodar : Nature
tideway : Water
balk : Blunt
smog : Toxic
juju : Magic
pickerel : Animal
infanticide : Evil
cambarus : Animal
diamond : Earth
gorse : Nature
strawflower : Nature
arson : Fire
interstate : Tech
lagodon : Animal
washup : Water
hyssopus : Nature
sciurus : Animal
dogwood : Nature
turdidae : Animal
bit : Tech
sorcerer : Magic
projector : Tech
limax : Animal
goethite : Earth
pineapple : Nature
eira : Animal
mimosa : Nature
blackwood : Nature
typhoon : Water
haw : Nature
polybotrya : Nature
ferrocerium : Fire
starflower : Nature
prophets : Light
adjuration : Magic
cryocautery : Tech
hatchery : Animal
augury : Magic
smoulder : Fire
nest : Animal
hemp : Nature
gaslight : Tech
hellgrammiate : Evil
narcotic : Toxic
holothuria : Animal
personhood : Life
dipodomys : Animal
dactylorhiza : Nature
eddy : Air
lichenales : Nature
everlastingness : Life
leukemia : Death
cerambycidae : Animal
supernova : Fire
coleonyx : Animal
thecodont : Animal
metasequoia : Nature
cholera : Toxic
nymph : Nature
aromatherapy : Healing
willow : Nature
minivan : Tech
gnosis : Magic
urchin : Animal
reithrodontomys : Animal
cetoniidae : Animal
phalacrocoracidae : Animal
audiotape : Tech
chamaecyparis : Nature
oncologist : Healing
angiosperm : Nature
vegetable : Nature
anthropoid : Animal
catalpa : Nature
hawfinch : Animal
highlight : Light
coal : Earth
trout : Water
oviraptorid : Animal
photocoagulation : Light
lepisosteus : Water
sheepshearing : Animal
bungarus : Toxic
epona : Animal
ovulation : Life
bionics : Tech
dinoflagellata : Water
pyromancy : Fire
devilwood : Nature
dew : Water
flight : Air
heartlessness : Evil
transducer : Tech
sadism: Evil
ascospore: Nature
coolant : Tech
seismology : Earth
druidism : Magic
polymer : Tech
rickettsiaceae : Toxic
electromagnetism : Electric
shamanism : Magic
aircraft : Air
quartering : Blunt
syringa : Nature
altair : Air
biogeography : Nature
aquatint : Water
flintstone : Fire
millstone : Earth
canoeist : Water
pneumococcus : Toxic
equus : Animal
rynchops : Animal 
malacosoma : Animal
aconitum : Nature
gean : Animal
triatoma : Animal
acarina : Animal
hamamelites : Nature
rebirth : Life 
puffer : Water 
arundinaria : Nature 
gerrhonotus : Animal 
